x,y,theta,s
10.217171,0.053313,-1.670561,0.000000
10.210857,-0.009773,-1.800326,0.063401
10.197171,-0.068349,-1.937913,0.123555
10.176329,-0.122546,-2.078366,0.181621
10.148549,-0.172496,-2.216087,0.238776
10.114045,-0.218329,-2.346069,0.296145
10.073034,-0.260179,-2.464843,0.354740
10.025732,-0.298177,-2.570744,0.415414
9.972356,-0.332453,-2.663601,0.478848
9.913120,-0.363141,-2.744210,0.545561
9.848242,-0.390371,-2.813845,0.615922
9.777937,-0.414276,-2.873923,0.690180
9.702421,-0.434986,-2.925807,0.768484
9.621911,-0.452634,-2.970721,0.850905
9.536622,-0.467351,-3.009724,0.937455
9.446771,-0.479268,-3.043707,1.028093
9.352573,-0.488518,-3.073414,1.122744
9.254246,-0.495233,-3.099463,1.221300
9.152004,-0.499543,-3.122364,1.323633
9.046063,-0.501580,3.140646,1.429593
8.936641,-0.501476,3.122845,1.539015
8.823953,-0.499364,3.107127,1.651723
8.708215,-0.495373,3.093249,1.767530
8.589643,-0.489636,3.081010,1.886241
8.468453,-0.482285,3.070239,2.007653
8.344861,-0.473452,3.060794,2.131560
8.219084,-0.463267,3.052556,2.257749
8.091337,-0.451862,3.045427,2.386004
7.961837,-0.439370,3.039322,2.516105
7.830799,-0.425922,3.034175,2.647832
7.698440,-0.411650,3.029928,2.780958
7.564975,-0.396684,3.026537,2.915259
7.430622,-0.381157,3.023967,3.050507
7.295595,-0.365201,3.022192,3.186473
7.160111,-0.348947,3.021194,3.322929
7.024386,-0.332526,3.020965,3.459643
6.888636,-0.316071,3.021502,3.596387
6.753077,-0.299713,3.022812,3.732929
6.617926,-0.283584,3.024908,3.869039
6.483397,-0.267815,3.027813,4.004489
6.349708,-0.252538,3.031558,4.139049
6.217075,-0.237884,3.036184,4.272489
6.085713,-0.223986,3.041563,4.404584
5.955794,-0.210947,3.047082,4.535155
5.827330,-0.198769,3.052594,4.664195
5.700297,-0.187434,3.058096,4.791733
5.574672,-0.176920,3.063584,4.917797
5.450430,-0.167208,3.069054,5.042418
5.327547,-0.158279,3.074500,5.165625
5.205999,-0.150112,3.079919,5.287447
5.085762,-0.142687,3.085307,5.407913
4.966813,-0.135985,3.090657,5.527051
4.849127,-0.129985,3.095965,5.644890
4.732681,-0.124668,3.101226,5.761457
4.617449,-0.120014,3.106435,5.876783
4.503409,-0.116003,3.111586,5.990894
4.390537,-0.112615,3.116673,6.103816
4.278807,-0.109830,3.121692,6.215581
4.168197,-0.107629,3.126636,6.326213
4.058683,-0.105991,3.131500,6.435739
3.950240,-0.104896,3.136277,6.544188
3.842844,-0.104325,3.140961,6.651585
3.736472,-0.104258,-3.137638,6.757957
3.631099,-0.104675,-3.133157,6.863331
3.526702,-0.105555,-3.128787,6.967732
3.423256,-0.106880,-3.124534,7.071186
3.320737,-0.108629,-3.120405,7.173720
3.219123,-0.110782,-3.116406,7.275357
3.118387,-0.113320,-3.112543,7.376125
3.018508,-0.116222,-3.108823,7.476046
2.919459,-0.119469,-3.105252,7.575148
2.821219,-0.123041,-3.101836,7.673453
2.723762,-0.126918,-3.098582,7.770987
2.627064,-0.131079,-3.095496,7.867775
2.531102,-0.135506,-3.092583,7.963839
2.435852,-0.140178,-3.089851,8.059204
2.341290,-0.145075,-3.087304,8.153892
2.247391,-0.150177,-3.084949,8.247930
2.154132,-0.155466,-3.082791,8.341339
2.061488,-0.160920,-3.080836,8.434143
1.969437,-0.166519,-3.079089,8.526364
1.877953,-0.172245,-3.077555,8.618027
1.787013,-0.178076,-3.076240,8.709154
1.696592,-0.183994,-3.075147,8.799768
1.606667,-0.189978,-3.074282,8.889892
1.517214,-0.196008,-3.073649,8.979548
1.428209,-0.202065,-3.073251,9.068759
1.339628,-0.208128,-3.073092,9.157547
1.251447,-0.214178,-3.073176,9.245936
1.163641,-0.220195,-3.073506,9.333948
1.076187,-0.226158,-3.074085,9.421605
0.989062,-0.232049,-3.074914,9.508929
0.902240,-0.237847,-3.075996,9.595944
0.815698,-0.243532,-3.077333,9.682672
0.729412,-0.249084,-3.078926,9.769137
0.643357,-0.254484,-3.080775,9.855361
0.557511,-0.259711,-3.082882,9.941366
0.471849,-0.264746,-3.085246,10.027176
0.386347,-0.269569,-3.087866,10.112814
0.300981,-0.274160,-3.090743,10.198303
0.215727,-0.278499,-3.093875,10.283668
0.130561,-0.282566,-3.097260,10.368931
0.045459,-0.286341,-3.100896,10.454116
-0.039603,-0.289805,-3.104781,10.539249
-0.124649,-0.292937,-3.108911,10.624353
-0.209703,-0.295718,-3.113283,10.709452
-0.294789,-0.298127,-3.117893,10.794572
-0.379930,-0.300145,-3.122737,10.879737
-0.465152,-0.301752,-3.127809,10.964974
-0.550477,-0.302928,-3.133105,11.050307
-0.635930,-0.303654,-3.138619,11.135763
-0.721535,-0.303908,3.138845,11.221369
-0.807315,-0.303673,3.133100,11.307149
-0.893288,-0.302943,3.127577,11.393125
-0.979460,-0.301735,3.122292,11.479306
-1.065837,-0.300067,3.117247,11.565699
-1.152425,-0.297959,3.112439,11.652312
-1.239230,-0.295427,3.107869,11.739154
-1.326259,-0.292491,3.103536,11.826233
-1.413518,-0.289169,3.099438,11.913555
-1.501012,-0.285479,3.095574,12.001127
-1.588748,-0.281438,3.091944,12.088956
-1.676731,-0.277066,3.088545,12.177047
-1.764969,-0.272381,3.085377,12.265410
-1.853466,-0.267401,3.082437,12.354047
-1.942230,-0.262144,3.079725,12.442966
-2.031266,-0.256628,3.077238,12.532173
-2.120580,-0.250873,3.074975,12.621672
-2.210178,-0.244895,3.072934,12.711469
-2.300067,-0.238714,3.071113,12.801571
-2.390252,-0.232347,3.069511,12.891980
-2.480741,-0.225813,3.068124,12.982705
-2.571538,-0.219130,3.066951,13.073747
-2.662649,-0.212317,3.065990,13.165113
-2.754082,-0.205391,3.065239,13.256808
-2.845842,-0.198372,3.064696,13.348836
-2.937935,-0.191276,3.064359,13.441202
-3.030367,-0.184123,3.064224,13.533910
-3.123144,-0.176930,3.064291,13.626965
-3.216273,-0.169717,3.064556,13.720373
-3.309759,-0.162501,3.065018,13.814137
-3.403609,-0.155300,3.065674,13.908263
-3.497829,-0.148133,3.066522,14.002755
-3.592424,-0.141019,3.067559,14.097618
-3.687401,-0.133974,3.068784,14.192855
-3.782767,-0.127019,3.070193,14.288475
-3.878526,-0.120170,3.071784,14.384478
-3.974685,-0.113446,3.073555,14.480872
-4.071251,-0.106866,3.075503,14.577662
-4.168229,-0.100447,3.077626,14.674852
-4.265626,-0.094209,3.079921,14.772449
-4.363447,-0.088168,3.082386,14.870456
-4.461699,-0.082344,3.085019,14.968881
-4.560387,-0.076755,3.087816,15.067727
-4.659519,-0.071419,3.090775,15.167002
-4.759099,-0.066354,3.093893,15.266711
-4.859134,-0.061579,3.097168,15.366860
-4.959631,-0.057111,3.100598,15.467456
-5.060594,-0.052970,3.104178,15.568504
-5.162031,-0.049173,3.107908,15.670012
-5.263947,-0.045739,3.111784,15.771986
-5.366349,-0.042685,3.115802,15.874433
-5.469242,-0.040031,3.119962,15.977361
-5.572633,-0.037794,3.124259,16.080776
-5.676528,-0.035993,3.128691,16.184687
-5.780933,-0.034646,3.133255,16.289100
-5.885853,-0.033771,3.137948,16.394024
-5.991296,-0.033387,-3.140418,16.499468
-6.097267,-0.033511,-3.135475,16.605439
-6.203772,-0.034163,-3.130412,16.711946
-6.310817,-0.035360,-3.125232,16.818997
-6.418409,-0.037120,-3.119937,16.926604
-6.526553,-0.039463,-3.114530,17.034773
-6.635256,-0.042405,-3.109016,17.143516
-6.744524,-0.045966,-3.103396,17.252842
-6.854362,-0.050164,-3.097673,17.362760
-6.964778,-0.055016,-3.091852,17.473283
-7.075776,-0.060542,-3.085935,17.584418
-7.187364,-0.066759,-3.079924,17.696179
-7.299546,-0.073686,-3.073824,17.808575
-7.412330,-0.081341,-3.067637,17.921618
-7.525722,-0.089742,-3.061367,18.035321
-7.639726,-0.098908,-3.055017,18.149693
-7.754351,-0.108856,-3.048589,18.264749
-7.869601,-0.119606,-3.042088,18.380499
-7.985482,-0.131175,-3.035515,18.496956
-8.102002,-0.143582,-3.028958,18.614135
-8.219156,-0.156833,-3.022882,18.732036
-8.336887,-0.170875,-3.017433,18.850601
-8.455120,-0.185631,-3.012590,18.969752
-8.573777,-0.201023,-3.008337,19.089403
-8.692783,-0.216976,-3.004657,19.209473
-8.812061,-0.233413,-3.001538,19.329878
-8.931536,-0.250256,-2.998971,19.450535
-9.051130,-0.267429,-2.996947,19.571356
-9.170768,-0.284856,-2.995462,19.692256
-9.290373,-0.302459,-2.994511,19.813150
-9.409869,-0.320163,-2.994095,19.933950
-9.529180,-0.337890,-2.994215,20.054571
-9.648229,-0.355563,-2.994874,20.174924
-9.766940,-0.373106,-2.996078,20.294925
-9.885238,-0.390443,-2.997838,20.414486
-10.003045,-0.407496,-3.000163,20.533521
-10.120286,-0.424189,-3.003067,20.651944
-10.236885,-0.440445,-3.006568,20.769671
-10.352764,-0.456187,-3.010685,20.886615
-10.467847,-0.471339,-3.015441,21.002691
-10.582060,-0.485824,-3.020862,21.117819
-10.695324,-0.499565,-3.026979,21.231913
-10.807565,-0.512486,-3.033826,21.344895
-10.918705,-0.524510,-3.041441,21.456684
-11.028668,-0.535560,-3.049869,21.567201
-11.137379,-0.545559,-3.059157,21.676371
-11.244761,-0.554432,-3.069360,21.784119
-11.350737,-0.562100,-3.080540,21.890372
-11.455232,-0.568487,-3.092764,21.995062
-11.558169,-0.573518,-3.106107,22.098121
-11.659472,-0.577114,-3.120655,22.199488
-11.759064,-0.579200,-3.136500,22.299102
-11.856870,-0.579698,3.129439,22.396909
-11.952813,-0.578532,3.110679,22.492859
-12.046817,-0.575625,3.090278,22.586908
-12.138806,-0.570900,3.068099,22.679019
-12.228702,-0.564281,3.043992,22.769158
-12.316431,-0.555692,3.017793,22.857306
-12.401916,-0.545054,2.989329,22.943451
-12.485080,-0.532293,2.958412,23.027588
-12.565848,-0.517330,2.924851,23.109730
-12.644143,-0.500089,2.888447,23.189901
-12.719888,-0.480494,2.849005,23.268140
-12.793009,-0.458468,2.806340,23.344506
-12.863427,-0.433934,2.760290,23.419076
-12.931067,-0.406815,2.710730,23.491950
-12.995854,-0.377035,2.657592,23.563253
-13.057709,-0.344517,2.600883,23.633135
-13.116558,-0.309185,2.540708,23.701776
-13.172324,-0.270961,2.477292,23.769384
-13.224931,-0.229769,2.410989,23.836200
-13.274302,-0.185532,2.342293,23.902490
-13.320362,-0.138173,2.272703,23.968554
-13.363080,-0.087652,2.205232,24.034714
-13.402550,-0.034020,2.140866,24.101304
-13.438884,0.022657,2.080053,24.168628
-13.472194,0.082313,2.023082,24.236953
-13.502594,0.144879,1.970096,24.306514
-13.530196,0.210291,1.921118,24.377511
-13.555112,0.278481,1.876075,24.450111
-13.577455,0.349382,1.834829,24.524449
-13.597338,0.422929,1.797195,24.600636
-13.614873,0.499055,1.762963,24.678755
-13.630174,0.577692,1.731912,24.758867
-13.643352,0.658775,1.703818,24.841014
-13.654520,0.742237,1.678464,24.925220
-13.663791,0.828010,1.655646,25.011492
-13.671277,0.916030,1.635170,25.099830
-13.677091,1.006228,1.616859,25.190215
-13.681347,1.098539,1.600551,25.282625
-13.684155,1.192896,1.586099,25.377023
-13.685629,1.289233,1.573370,25.473372
-13.685882,1.387482,1.562244,25.571621
-13.685026,1.487577,1.552616,25.671720
-13.683174,1.589451,1.544391,25.773610
-13.680438,1.693039,1.537483,25.877234
-13.676931,1.798273,1.531820,25.982527
-13.672765,1.905086,1.527334,26.089421
-13.668054,2.013413,1.523968,26.197851
-13.662910,2.123187,1.521671,26.307745
-13.657445,2.234341,1.520399,26.419033
-13.651772,2.346808,1.520115,26.531643
-13.646004,2.460521,1.520785,26.645502
-13.640253,2.575416,1.522381,26.760541
-13.634632,2.691423,1.524881,26.876684
-13.629254,2.808478,1.528265,26.993863
-13.624231,2.926514,1.532517,27.112006
-13.619675,3.045463,1.537626,27.231042
-13.615700,3.165260,1.543583,27.350905
-13.612418,3.285837,1.550381,27.471526
-13.609941,3.407129,1.558017,27.592844
-13.608383,3.529068,1.566491,27.714793
-13.607855,3.651588,1.575803,27.837314
-13.608471,3.774623,1.585955,27.960350
-13.610343,3.898105,1.596954,28.083847
-13.613584,4.021969,1.608804,28.207753
-13.618306,4.146147,1.621513,28.332021
-13.624622,4.270574,1.635088,28.456608
-13.632644,4.395181,1.649061,28.581473
-13.642425,4.519900,1.662160,28.706575
-13.653854,4.644645,1.674201,28.831842
-13.666794,4.769332,1.685209,28.957199
-13.681105,4.893876,1.695208,29.082562
-13.696652,5.018191,1.704220,29.207846
-13.713296,5.142192,1.712260,29.332959
-13.730898,5.265793,1.719341,29.457807
-13.749322,5.388910,1.725472,29.582295
-13.768430,5.511457,1.730657,29.706323
-13.788083,5.633349,1.734897,29.829789
-13.808145,5.754500,1.738188,29.952590
-13.828476,5.874826,1.740519,30.074621
-13.848941,5.994240,1.741875,30.195776
-13.869399,6.112658,1.742237,30.315948
-13.889715,6.229995,1.741578,30.435031
-13.909750,6.346164,1.739865,30.552915
-13.929366,6.461081,1.737056,30.669494
-13.948426,6.574661,1.733104,30.784662
-13.966791,6.686818,1.727950,30.898313
-13.984325,6.797466,1.721527,31.010342
-14.000888,6.906521,1.713756,31.120647
-14.016344,7.013898,1.704547,31.229131
-14.030555,7.119510,1.693794,31.335695
-14.043382,7.223274,1.681378,31.440249
-14.054689,7.325102,1.667159,31.542702
-14.064336,7.424911,1.650981,31.642977
-14.072187,7.522615,1.632666,31.740996
-14.078104,7.618128,1.612010,31.836692
-14.081949,7.711365,1.588785,31.930008
-14.083584,7.802242,1.562737,32.020900
-14.082871,7.890672,1.533582,32.109332
-14.079673,7.976570,1.501010,32.195290
-14.073852,8.059852,1.464688,32.278775
-14.065270,8.140431,1.424266,32.359810
-14.053788,8.218223,1.379390,32.438445
-14.039271,8.293142,1.329721,32.514757
-14.021579,8.365103,1.274966,32.588861
-14.000574,8.434020,1.214917,32.660908
-13.976120,8.499809,1.149497,32.731095
-13.948078,8.562384,1.078823,32.799666
-13.916311,8.621660,1.003259,32.866918
-13.880681,8.677551,0.923453,32.933200
-13.841049,8.729972,0.840350,32.998916
-13.797278,8.778838,0.755160,33.064519
-13.749231,8.824064,0.670162,33.130503
-13.696821,8.865601,0.589838,33.197377
-13.640148,8.903533,0.515510,33.265573
-13.579360,8.937976,0.447358,33.335441
-13.514600,8.969048,0.385295,33.407269
-13.446015,8.996864,0.329050,33.481280
-13.373750,9.021540,0.278242,33.557642
-13.297950,9.043192,0.232432,33.636474
-13.218761,9.061937,0.191170,33.717851
-13.136329,9.077890,0.154015,33.801813
-13.050797,9.091169,0.120555,33.888370
-12.962313,9.101888,0.090411,33.977500
-12.871021,9.110164,0.063240,34.069167
-12.777067,9.116114,0.038738,34.163309
-12.680596,9.119853,0.016636,34.259852
-12.581754,9.121497,-0.003303,34.358708
-12.480686,9.121163,-0.021286,34.459777
-12.377537,9.118967,-0.037495,34.562949
-12.272453,9.115025,-0.052088,34.668107
-12.165580,9.109454,-0.065202,34.775125
-12.057062,9.102368,-0.076956,34.883874
-11.947045,9.093885,-0.087453,34.994218
-11.835675,9.084120,-0.096783,35.106015
-11.723097,9.073190,-0.105023,35.219122
-11.609456,9.061211,-0.112237,35.333393
-11.494898,9.048299,-0.118482,35.448676
-11.379568,9.034571,-0.123803,35.564820
-11.263612,9.020141,-0.128238,35.681671
-11.147174,9.005127,-0.131817,35.799073
-11.030401,8.989645,-0.134564,35.916868
-10.913438,8.973810,-0.136494,36.034898
-10.796430,8.957739,-0.137617,36.153004
-10.679523,8.941548,-0.137935,36.271027
-10.562862,8.925354,-0.137446,36.388807
-10.446592,8.909272,-0.136138,36.506184
-10.330859,8.893418,-0.133994,36.622998
-10.215809,8.877909,-0.130991,36.739088
-10.101586,8.862861,-0.127238,36.854298
-9.988309,8.848369,-0.123317,36.968498
-9.875985,8.834447,-0.119385,37.081682
-9.764591,8.821085,-0.115446,37.193874
-9.654102,8.808272,-0.111501,37.305104
-9.544497,8.796000,-0.107554,37.415394
-9.435751,8.784259,-0.103606,37.524772
-9.327842,8.773039,-0.099660,37.633262
-9.220746,8.762330,-0.095720,37.740893
-9.114440,8.752123,-0.091789,37.847687
-9.008901,8.742409,-0.087869,37.953673
-8.904105,8.733177,-0.083963,38.058874
-8.800031,8.724418,-0.080075,38.163316
-8.696653,8.716122,-0.076208,38.267027
-8.593950,8.708280,-0.072364,38.370029
-8.491897,8.700882,-0.068548,38.472349
-8.390472,8.693919,-0.064763,38.574013
-8.289652,8.687380,-0.061012,38.675045
-8.189413,8.681257,-0.057298,38.775471
-8.089732,8.675539,-0.053626,38.875316
-7.990586,8.670217,-0.049997,38.974604
-7.891951,8.665282,-0.046417,39.073363
-7.793805,8.660723,-0.042887,39.171615
-7.696125,8.656531,-0.039412,39.269385
-7.598886,8.652696,-0.035996,39.366699
-7.502066,8.649210,-0.032640,39.463582
-7.405642,8.646061,-0.029350,39.560057
-7.309590,8.643242,-0.026127,39.656151
-7.213887,8.640741,-0.022975,39.751886
-7.118511,8.638549,-0.019898,39.847288
-7.023437,8.636657,-0.016898,39.942380
-6.928643,8.635055,-0.013979,40.037188
-6.834105,8.633733,-0.011143,40.131735
-6.739801,8.632682,-0.008393,40.226045
-6.645706,8.631893,-0.005731,40.320143
-6.551798,8.631354,-0.003161,40.414053
-6.458054,8.631058,-0.000685,40.507797
-6.364451,8.630994,0.001696,40.601400
-6.270964,8.631152,0.003978,40.694887
-6.177571,8.631524,0.006160,40.788281
-6.084250,8.632099,0.008240,40.881604
-5.990975,8.632867,0.010216,40.974882
-5.897726,8.633820,0.012087,41.068136
-5.804477,8.634947,0.013851,41.161392
-5.711206,8.636239,0.015508,41.254672
-5.617890,8.637686,0.017055,41.347999
-5.524506,8.639279,0.018492,41.441397
-5.431030,8.641008,0.019819,41.534889
-5.337439,8.642863,0.021034,41.628498
-5.243710,8.644835,0.022138,41.722248
-5.149819,8.646914,0.023130,41.816162
-5.055745,8.649090,0.024010,41.910261
-4.961462,8.651354,0.024778,42.004571
-4.866949,8.653696,0.025434,42.099113
-4.772181,8.656107,0.025980,42.193912
-4.677137,8.658577,0.026414,42.288988
-4.581791,8.661096,0.026739,42.384367
-4.486123,8.663655,0.026958,42.480069
-4.390110,8.666244,0.027093,42.576117
-4.293758,8.668855,0.027155,42.672505
-4.197082,8.671481,0.027144,42.769216
-4.100099,8.674114,0.027062,42.866235
-4.002825,8.676747,0.026909,42.963545
-3.905275,8.679373,0.026686,43.061130
-3.807466,8.681983,0.026393,43.158974
